Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinée,GIN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,46.1,,,,,,,,43,,,,,39.4,,,,,33.7,,,,,,,
Gambie,GMB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,47.3,,,,,,,43.6,,,,,35.9,,,,
Guinée-Bissau,GNB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,,,,,,,,,35.6,,,,,,,,50.7,,,,,,,,,
Guinée équatoriale,GNQ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grèce,GRC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.2,36.1,35.8,36,,,,
Grenade,GRD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groenland,GRL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,,,59.6,,,,,,,,,,,54.2,,,,,,54.6,,,,,,,,48.3,,,,,
Guam,GUM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyane,GUY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,
Revenu élevé,HIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chine, RAS de Hong Kong",HKG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,57.4,51.9,51.8,53.5,55,55.5,55.7,52.7,57.4,55.4,,55.6,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4,49.6,50,50.5,,
Pays pauvres très endettés (PPTE),HPC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatie,HRV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,32.6,32.4,32.3,32.5,32,32.1,31.1,,,,
Haïti,HTI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,
Hongrie,HUN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,25,,,,27.9,,,,,,,,,,,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,,,,
BIRD seulement,IBD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRD et IDA,IBT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA totale,IDA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA mélange,IDB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonésie,IDN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,30.6,,,31.2,,,32,,,34.4,,31.1,31,28.5,29,31.7,31.8,32.7,33,34.2,35.7,35.1,35.1,36.4,39.7,39.6,39.9,39.4,39.7,38.6,38.1,,
IDA seulement,IDX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île de Man,IMN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inde,IND,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,32.6,,,,,,31.7,,,,,,,,,,,34.4,,,,,35.4,,35.7,,,,,,,,
Non classifié,INX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlande,IRL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,33.6,33.7,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,,,,
"Iran, République islamique d’",IRN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,43.6,,,,43,,,,44.1,,,,,,,43.6,44.8,,,42.1,,,,37.4,38.8,39.5,40,,,
Iraq,IRQ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,29.5,,,,,,,
Islande,ISL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,,,,,
Israël,ISR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,36.3,,,,,,,36.5,,,,,,35.5,,,,,38.1,,,,38.9,,,,41.7,,41,,,42.6,,41.4,,39.8,,38.9,,,
Italie,ITA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,,,,
Jamaïque,JAM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,41.1,,,35.7,,,40.4,,,44.1,,,48.3,,45.5,,,,,,,,,,,,,,,
Jordanie,JOR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,43.4,,,,,36.4,,,,,37,,,,33.9,,32.6,,33.7,,,,,,,,,
Japon,JPN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,,
Kazakhstan,KAZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5,,
Kenya,KEN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,43.1,,,45,,,,,,,,46.5,,,,,,,,,,40.8,,,,
République kirghize,KGZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,27.3,,
Cambodge,KHM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,
Saint-Kitts-et-Nevis,KNA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corée, République de",KOR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,32.3,,32,,31.6,,,,,,,
Koweït,KWT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amérique latine et Caraïbes (hors revenu élevé),LAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
République démocratique populaire lao,LAO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,34.9,,,,,32.6,,,,,35.4,,,,,36.4,,,,,,,
Liban,LBN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,,,
Libéria,LBR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,33.2,,35.3,,,
Libye,LBY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte-Lucie,LCA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,51.2,,,
Amérique latine et Caraïbes,LCN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pays les moins avancés : classement de l’ONU,LDC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faible revenu,LIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,32.4,,,,,35.4,,,,,,,41,,,,40.3,,,36.4,,,39.2,,,,39.8,,,
"Revenu intermédiaire, tranche inférieure",LMC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenu faible et intermédiaire,LMY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,63.2,,,,,,,,51.6,,,,,,,,54.2,,,,,,,,,
de dividende tardif démographique,LTE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lituanie,LTU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,,,,
Luxembourg,LUX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,33.8,,,,
Lettonie,LVA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,31,31.6,,,,,,,,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,,,,
"Région administrative spéciale de Macao, Chine",MAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Martin (fr),MAF,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroc,MAR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,,,,39.2,,,,,,,,39.5,,40.6,,,,,,40.7,,,,,,,39.5,,,,,,
Monaco,MCO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,25.9,,
Madagascar,MDG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,,,,45.3,,,,39.5,,38.6,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,,,
Maldives,MDV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,38.4,,,,,,,,,,
Afrique du Nord et Moyen-Orient,MEA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexique,MEX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,53.7,,54.3,,54.8,,53.4,,52.6,,50.1,,50,50.1,48.9,,49.9,,47.2,,48.7,,48.7,,48.3,,,
Îles Marshall,MHL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenu intermédiaire,MIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macédoine du Nord,MKD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,,,,
Mali,MLI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,39.9,,,,,38.9,,,33,,,,,,,,,,
Malte,MLT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,,,,
Myanmar,MMR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monténégro,MNE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30,31.4,30.5,31,28.9,30.8,32.3,32.4,31.9,,,,,
Mongolie,MNG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,30.3,,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32,,32.3,,,
Mariannes,MNP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,,,47,,,,,,45.6,,,,,,54,,,,,
Mauritanie,MRT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,50.1,,37.7,,,,,39,,,,40.2,,,,35.7,,,,,,32.6,,,,,
Maurice,MUS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,38.5,,,,,,,
Malawi,MWI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,39.9,,,,,,45.5,,,,,,44.7,,,
Malaisie,MYS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,47,,46.2,,,47.7,,,48.5,,49.1,,,,,,,46.1,,,46.1,45.5,,,43.9,,41.3,,41,,,,
Amérique du Nord,NAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibie,NAM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,61,,,,,,59.1,,,,
Nouvelle-Calédonie,NCL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,41.5,,,,,,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,,,
Nigéria,NGA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,,,45,,,,51.9,,,,,,,40.1,,,,,,43,,,,,,,,,,
Nicaragua,NIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4,,,,,54.4,,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,,,
